categoria,subcategoria,variable,unidad,anio,valor
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2010,1.5391655753424658
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2011,1.7595156927592952
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2012,1.6977313331381738
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2013,1.499316023483366
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2014,1.7689606784735812
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2015,1.6716063786692756
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2016,1.273879136416862
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2017,1.1511850315068493
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2018,1.157700311154599
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2019,0.39071997299412914
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2020,0.8342874080796252
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2021,1.524735852446184
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2022,1.368537648727984
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2023,0.916965413894325
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2024,0.44394731381733016
COMBUSTIBLES,Valores físicos,CARBÓN (Gas Eq),[Mm3/d],2025,0.4684171808219179
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2005,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2006,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2007,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2008,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2009,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2010,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2011,1923.383907692308
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2012,2075.6777934437782
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2013,4319.574324324324
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2014,2095.538745387454
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2015,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2016,1953.9199999999996
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2017,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2018,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2019,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2020,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2021,
COMBUSTIBLES,MEDIO,CEM BIODIESEL,[Kcal/KWh],2022,
